"Parameter","Median","Min","Max","pd","Lag","Model"
"c5_c6_c7",0.00917399037737039,0.00917399037737039,0.00917399037737039,1,7,"INGARCHX"
"c8",-5.37902474564256,-5.37902474564256,-5.37902474564256,1,7,"INGARCHX"
"h2_h3_h6",-0.0564031471174233,-0.0564031471174233,-0.0564031471174233,1,7,"INGARCHX"
"h7",-0.0105996246214921,-0.0105996246214921,-0.0105996246214921,1,7,"INGARCHX"
"mut",5.54831360351263,5.54831360351263,5.54831360351263,1,14,"INGARCHX"
"sigma2lat",9.47627941083842,9.47627941083842,9.47627941083842,1,14,"INGARCHX"
"At",0.409263991181443,0.409263991181443,0.409263991181443,1,14,"INGARCHX"
"Bt",0.58131762375272,0.58131762375272,0.58131762375272,1,14,"INGARCHX"
"c1_c2",0.00868411335630421,0.00868411335630421,0.00868411335630421,1,14,"INGARCHX"
"c3_c4",-0.050343203319696,-0.050343203319696,-0.050343203319696,1,14,"INGARCHX"
"c5_c6_c7",0.0548167722951403,0.0548167722951403,0.0548167722951403,1,14,"INGARCHX"
"c8",-5.43989360581814,-5.43989360581814,-5.43989360581814,1,14,"INGARCHX"
"h2_h3_h6",-0.000303705341786869,-0.000303705341786869,-0.000303705341786869,0.8784,14,"INGARCHX"
"h7",-0.0130397627597883,-0.0130397627597883,-0.0130397627597883,1,14,"INGARCHX"
"sigma2lat",5.58695972562343,5.58695972562343,5.58695972562343,1,0,"tvINGARCHX"
"mut",0.567932714533463,0.126610165348975,0.995105564187783,1,0,"tvINGARCHX"
"At",0.503908836694798,0.171672193727434,0.696979258096384,1,0,"tvINGARCHX"
"Bt",0.328687700193385,0.0413002291886394,0.6118941195018,1,0,"tvINGARCHX"
"c1_c2",0.0130379457827733,-0.115127052663966,1.59727882947851,0.521531100478469,0,"tvINGARCHX"
"c3_c4",-0.0108831627039107,-1.32108816713309,1.19848592869655,0.507177033492823,0,"tvINGARCHX"
"c5_c6_c7",0.516531171413691,-0.997594106076494,1.45080577090482,0.925837320574163,0,"tvINGARCHX"
"c8",0.667020024963863,-0.338419845194914,0.978399316072109,0.949760765550239,0,"tvINGARCHX"
