"Country","Date","Number","c1_c2","c3_c4","c5_c6_c7","c8","h2_h3_h6","h7"
"United States","2020-07-08",46194,0,1,1,1,1,0
"United States","2020-07-09",50263,0,1,1,1,1,0
"United States","2020-07-10",64630,0,1,1,1,1,0
"United States","2020-07-11",58975,0,1,1,1,1,0
"United States","2020-07-12",66281,0,1,1,1,1,0
"United States","2020-07-13",62369,0,1,1,1,1,0
"United States","2020-07-14",60113,0,1,1,1,1,0
"United States","2020-07-15",58720,0,1,1,1,1,0
"United States","2020-07-16",60711,0,1,1,1,1,0
"United States","2020-07-17",67165,0,1,1,1,1,0
"United States","2020-07-18",71484,0,1,1,1,1,0
"United States","2020-07-19",74354,0,1,1,1,1,0
"United States","2020-07-20",66963,0,1,1,1,1,0
"United States","2020-07-21",62788,0,1,1,1,1,0
"United States","2020-07-22",57276,0,1,1,1,1,0
"United States","2020-07-23",62929,0,1,1,1,1,0
"United States","2020-07-24",69641,0,1,1,1,1,0
"United States","2020-07-25",71714,0,1,1,1,1,0
"United States","2020-07-26",74235,0,1,1,1,1,0
"United States","2020-07-27",63968,0,1,1,1,1,0
"United States","2020-07-28",61498,0,1,1,1,1,0
"United States","2020-07-29",54022,0,1,1,1,1,0
"United States","2020-07-30",59629,0,1,1,1,1,0
"United States","2020-07-31",65406,0,1,1,1,1,0
"United States","2020-08-01",67823,0,1,1,1,1,0
"United States","2020-08-02",67499,0,1,1,1,1,0
"United States","2020-08-03",58388,0,1,1,1,1,0
"United States","2020-08-04",47183,0,1,1,1,1,0
"United States","2020-08-05",49151,0,1,1,1,1,0
"United States","2020-08-06",49629,0,1,1,1,1,0
"United States","2020-08-07",53373,0,1,1,1,1,0
"United States","2020-08-08",55318,0,1,1,1,1,0
"United States","2020-08-09",61028,0,1,1,1,1,0
"United States","2020-08-10",53893,0,1,1,1,1,0
"United States","2020-08-11",47964,0,1,1,1,1,0
"United States","2020-08-12",39894,0,1,1,1,1,0
"United States","2020-08-13",54791,0,1,1,1,1,0
"United States","2020-08-14",55907,0,1,1,1,1,0
"United States","2020-08-15",52799,0,1,1,1,1,0
